census_tract,rm_no,tract_population,minority_pct,rm_no_per1000,geo_id,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
04013617500,12,3435,6.93,3.493449781659389,1400000US04013617500,"Census Tract 6175, Maricopa County, Arizona",3660.0,159.0,81.0,4.344262295081967,2.2131147540983607
04013103219,10,2864,12.12,3.4916201117318435,1400000US04013103219,"Census Tract 1032.19, Maricopa County, Arizona",3250.0,283.0,44.0,8.707692307692309,1.353846153846154
04025000402,17,4894,7.269999999999999,3.4736411932979157,,,,,,,
04013040529,10,2896,4.52,3.453038674033149,1400000US04013040529,"Census Tract 405.29, Maricopa County, Arizona",3233.0,16.0,34.0,0.49489638107021344,1.0516548097742036
04013723304,15,4353,44.66,3.445899379738112,1400000US04013723304,"Census Tract 7233.04, Maricopa County, Arizona",6032.0,2262.0,72.0,37.5,1.1936339522546418
04013010101,17,4957,2.44,3.4294936453500102,,,,,,,
04015953300,21,6139,17.8,3.4207525655644244,,,,,,,
04013420212,10,2964,7.73,3.373819163292848,1400000US04013420212,"Census Tract 4202.12, Maricopa County, Arizona",2915.0,373.0,61.0,12.795883361921097,2.0926243567753002
04021000603,18,5351,9.44,3.3638572229489814,1400000US04021000603,"Census Tract 6.03, Pinal County, Arizona",5778.0,832.0,9.0,14.39944617514711,0.1557632398753894
04013613000,13,3865,14.41,3.3635187580853816,1400000US04013613000,"Census Tract 6130, Maricopa County, Arizona",5698.0,197.0,43.0,3.4573534573534577,0.7546507546507547
04013216832,6,1801,5.11,3.331482509716824,1400000US04013216832,"Census Tract 2168.32, Maricopa County, Arizona",2301.0,0.0,7.0,0.0,0.3042155584528466
04015953401,16,4804,15.65,3.3305578684429644,,,,,,,
04013613100,9,2717,12.51,3.312476996687523,1400000US04013613100,"Census Tract 6131, Maricopa County, Arizona",2977.0,159.0,0.0,5.340947262344643,0.0
04013216820,15,4531,12.78,3.310527477378062,1400000US04013216820,"Census Tract 2168.20, Maricopa County, Arizona",4324.0,215.0,27.0,4.972247918593895,0.6244218316373727
04015952500,17,5310,22.11,3.2015065913371,,,,,,,
04013040519,15,4701,13.59,3.1908104658583283,,,,,,,
04013816900,14,4453,21.56,3.143947900291938,,,,,,,
04013814000,8,2563,10.18,3.1213421771361687,1400000US04013814000,"Census Tract 8140, Maricopa County, Arizona",2739.0,126.0,240.0,4.600219058050383,8.762322015334064
04007000100,5,1608,6.65,3.109452736318408,1400000US04007000100,"Census Tract 1, Gila County, Arizona",2632.0,48.0,0.0,1.82370820668693,0.0
04013040513,9,2942,1.7,3.059143439836846,1400000US04013040513,"Census Tract 405.13, Maricopa County, Arizona",2925.0,43.0,19.0,1.4700854700854702,0.6495726495726496
04021000316,22,7201,7.599999999999999,3.0551312317733648,1400000US04021000316,"Census Tract 3.16, Pinal County, Arizona",6895.0,432.0,129.0,6.265409717186367,1.8709209572153735
04025000500,17,5638,15.45,3.0152536360411495,,,,,,,
04025000605,28,9691,30.01,2.8892787122072026,,,,,,,
04019004330,5,1789,2.29,2.794857462269424,1400000US04019004330,"Census Tract 43.30, Pima County, Arizona",1683.0,61.0,38.0,3.6244800950683302,2.2578728461081403
04021000802,11,3970,23.2,2.7707808564231735,1400000US04021000802,"Census Tract 8.02, Pinal County, Arizona",5728.0,618.0,66.0,10.789106145251397,1.1522346368715084
04025000801,10,3630,18.79,2.7548209366391188,,,,,,,
04013617400,20,7297,11.37,2.7408524050979852,1400000US04013617400,"Census Tract 6174, Maricopa County, Arizona",7138.0,857.0,150.0,12.006164191650322,2.1014289717007566
04013107800,7,2562,7.809999999999999,2.73224043715847,1400000US04013107800,"Census Tract 1078, Maricopa County, Arizona",2355.0,234.0,82.0,9.936305732484078,3.4819532908704884
04025000604,14,5133,21.22,2.7274498344048315,1400000US04025000604,"Census Tract 6.04, Yavapai County, Arizona",5056.0,800.0,20.0,15.822784810126583,0.39556962025316456
04021000206,12,4428,22.92,2.710027100271003,1400000US04021000206,"Census Tract 2.06, Pinal County, Arizona",7534.0,1273.0,159.0,16.89673480222989,2.1104327050703477
04025001102,11,4070,11.2,2.7027027027027026,,,,,,,
04013420206,9,3416,5.77,2.6346604215456675,1400000US04013420206,"Census Tract 4202.06, Maricopa County, Arizona",3782.0,339.0,35.0,8.963511369645689,0.9254362771020624
04013216835,6,2295,19.52,2.6143790849673203,1400000US04013216835,"Census Tract 2168.35, Maricopa County, Arizona",2630.0,277.0,0.0,10.532319391634982,0.0
04015953402,16,6130,23.77,2.6101141924959217,,,,,,,
04013422639,9,3508,5.07,2.5655644241733184,1400000US04013422639,"Census Tract 4226.39, Maricopa County, Arizona",3417.0,16.0,15.0,0.46824700029265437,0.4389815627743635
04013040528,16,6256,3.85,2.557544757033248,1400000US04013040528,"Census Tract 405.28, Maricopa County, Arizona",5822.0,215.0,109.0,3.6928890415664717,1.8722088629336997
04021000801,34,13318,30.18,2.5529358762576964,,,,,,,
04025001703,7,2770,18.01,2.527075812274368,1400000US04025001703,"Census Tract 17.03, Yavapai County, Arizona",2350.0,444.0,16.0,18.893617021276597,0.6808510638297872
04013420215,4,1590,21.57,2.5157232704402515,1400000US04013420215,"Census Tract 4202.15, Maricopa County, Arizona",3313.0,773.0,128.0,23.33232719589496,3.8635677633564742
04013071909,11,4384,42.24,2.509124087591241,1400000US04013071909,"Census Tract 719.09, Maricopa County, Arizona",3856.0,1264.0,136.0,32.780082987551864,3.5269709543568464
04025002004,21,8393,16.68,2.5020850708924103,,,,,,,
04013071516,8,3227,18.53,2.479082739386427,1400000US04013071516,"Census Tract 715.16, Maricopa County, Arizona",4033.0,1146.0,77.0,28.415571534837593,1.909248698239524
04021000604,11,4439,1.73,2.4780355936021627,1400000US04021000604,"Census Tract 6.04, Pinal County, Arizona",4100.0,30.0,13.0,0.7317073170731708,0.3170731707317073
04013071505,16,6679,9.37,2.3955681988321604,1400000US04013071505,"Census Tract 715.05, Maricopa County, Arizona",6361.0,414.0,120.0,6.508410627259866,1.8864958339883668
04007000200,5,2112,8.24,2.3674242424242427,1400000US04007000200,"Census Tract 2, Gila County, Arizona",2345.0,261.0,5.0,11.13006396588486,0.21321961620469082
04013813000,10,4231,27.44,2.363507445048452,1400000US04013813000,"Census Tract 8130, Maricopa County, Arizona",5548.0,286.0,345.0,5.155010814708002,6.218457101658255
04013420202,13,5529,22.26,2.351238922047387,1400000US04013420202,"Census Tract 4202.02, Maricopa County, Arizona",5491.0,837.0,87.0,15.24312511382262,1.5844108541249318
04015952700,12,5107,13.14,2.349716075974153,,,,,,,
04013612600,5,2148,6.66,2.3277467411545625,1400000US04013612600,"Census Tract 6126, Maricopa County, Arizona",2325.0,236.0,8.0,10.150537634408602,0.34408602150537637
04013217203,8,3485,20.83,2.2955523672883786,1400000US04013217203,"Census Tract 2172.03, Maricopa County, Arizona",3807.0,613.0,38.0,16.101917520357237,0.998161281849225
04013216829,11,4816,17.21,2.2840531561461797,1400000US04013216829,"Census Tract 2168.29, Maricopa County, Arizona",5433.0,310.0,260.0,5.705871525860482,4.785569666850727
04019004328,8,3533,0.79,2.2643645626945936,1400000US04019004328,"Census Tract 43.28, Pima County, Arizona",3326.0,39.0,0.0,1.1725796752856283,0.0
04013103214,9,3993,15.6,2.2539444027047333,1400000US04013103214,"Census Tract 1032.14, Maricopa County, Arizona",3948.0,325.0,123.0,8.232016210739616,3.115501519756839
04013420214,8,3559,16.52,2.24782242202866,1400000US04013420214,"Census Tract 4202.14, Maricopa County, Arizona",4662.0,1030.0,134.0,22.093522093522093,2.8743028743028742
04015952600,8,3585,24.02,2.2315202231520224,1400000US04015952600,"Census Tract 9526, Mohave County, Arizona",3655.0,1057.0,0.0,28.919288645690834,0.0
04013217101,6,2693,15.71,2.227998514667657,1400000US04013217101,"Census Tract 2171.01, Maricopa County, Arizona",2507.0,398.0,83.0,15.87554846429996,3.3107299561228563
04013103216,11,4944,21.54,2.2249190938511325,1400000US04013103216,"Census Tract 1032.16, Maricopa County, Arizona",5093.0,553.0,113.0,10.858040447673277,2.2187315923817006
04013216850,8,3632,27.75,2.2026431718061676,1400000US04013216850,"Census Tract 2168.50, Maricopa County, Arizona",5226.0,692.0,230.0,13.241484883275929,4.40107156525067
04019004642,7,3203,10.52,2.1854511395566654,1400000US04019004642,"Census Tract 46.42, Pima County, Arizona",4163.0,389.0,66.0,9.344222916166228,1.5853951477300023
04019004332,3,1373,2.26,2.1849963583394025,1400000US04019004332,"Census Tract 43.32, Pima County, Arizona",2027.0,17.0,11.0,0.8386778490379871,0.5426739023186976
04013216839,8,3763,12.01,2.125963327132607,1400000US04013216839,"Census Tract 2168.39, Maricopa County, Arizona",3720.0,218.0,59.0,5.860215053763441,1.5860215053763442
04017963700,3,1416,14.55,2.1186440677966103,1400000US04017963700,"Census Tract 9637, Navajo County, Arizona",1226.0,27.0,0.0,2.202283849918434,0.0
04013050606,16,7689,27.01,2.080894784757446,,,,,,,
04013040522,9,4332,2.01,2.0775623268698062,1400000US04013040522,"Census Tract 405.22, Maricopa County, Arizona",3897.0,66.0,17.0,1.6936104695919936,0.43623299974339236
04025001801,7,3392,10.52,2.063679245283019,1400000US04025001801,"Census Tract 18.01, Yavapai County, Arizona",3190.0,215.0,24.0,6.739811912225706,0.7523510971786834
04013422618,6,2909,3.58,2.062564455139223,1400000US04013422618,"Census Tract 4226.18, Maricopa County, Arizona",2928.0,67.0,11.0,2.288251366120219,0.3756830601092896
04015952900,10,4904,19.7,2.039151712887439,,,,,,,
04015953200,5,2452,15.74,2.039151712887439,1400000US04015953200,"Census Tract 9532, Mohave County, Arizona",3080.0,30.0,0.0,0.974025974025974,0.0
04025001702,9,4457,11.42,2.019295490240072,,,,,,,
04025001401,5,2478,6.42,2.0177562550443904,1400000US04025001401,"Census Tract 14.01, Yavapai County, Arizona",2820.0,237.0,33.0,8.404255319148936,1.1702127659574468
04013216806,6,3060,12.58,1.9607843137254901,1400000US04013216806,"Census Tract 2168.06, Maricopa County, Arizona",3112.0,209.0,54.0,6.715938303341902,1.7352185089974295
04013103211,8,4083,12.1,1.9593436198873377,1400000US04013103211,"Census Tract 1032.11, Maricopa County, Arizona",4774.0,586.0,103.0,12.274821952241307,2.1575198994553832
04013216818,13,6662,8.769999999999998,1.9513659561693184,,,,,,,
04013216809,10,5168,16.29,1.934984520123839,1400000US04013216809,"Census Tract 2168.09, Maricopa County, Arizona",4973.0,237.0,22.0,4.7657349688316915,0.4423889000603257
04013218100,4,2088,38.07,1.9157088122605364,1400000US04013218100,"Census Tract 2181, Maricopa County, Arizona",2167.0,428.0,0.0,19.75080756806645,0.0
04013103605,11,5746,10.56,1.9143752175426383,1400000US04013103605,"Census Tract 1036.05, Maricopa County, Arizona",5808.0,363.0,113.0,6.25,1.9455922865013773
04013105400,7,3660,23.83,1.9125683060109289,1400000US04013105400,"Census Tract 1054, Maricopa County, Arizona",4004.0,962.0,298.0,24.025974025974026,7.442557442557443
04013422644,14,7344,14.75,1.906318082788671,,,,,,,
04013104207,8,4214,28.12,1.8984337921214998,1400000US04013104207,"Census Tract 1042.07, Maricopa County, Arizona",4527.0,705.0,74.0,15.573227302849569,1.634636624696267
04013612500,8,4245,6.83,1.8845700824499412,1400000US04013612500,"Census Tract 6125, Maricopa County, Arizona",4067.0,140.0,61.0,3.4423407917383817,1.499877059257438
04015953100,6,3191,29.46,1.880288310874334,1400000US04015953100,"Census Tract 9531, Mohave County, Arizona",3558.0,446.0,95.0,12.53513209668353,2.6700393479482853
04013217001,9,4884,12.49,1.8427518427518428,1400000US04013217001,"Census Tract 2170.01, Maricopa County, Arizona",4534.0,213.0,62.0,4.6978385531539475,1.3674459638288485
