census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071002803,0.473260766682442,2,06071, San Bernardino County,CA,2803,28.03,4226,10.5%,31.1,84.1%,6.0%
06071004504,0.47175374454534735,4,06071, San Bernardino County,CA,4504,45.04,8479,9.7%,31.2,54.0%,16.1%
06071007904,0.4703668861712136,3,06071, San Bernardino County,CA,7904,79.04,6378,13.4%,38.8,34.1%,7.3%
06071000903,0.4604051565377532,2,06071, San Bernardino County,CA,903,9.03,4344,13.1%,32.5,58.1%,12.5%
06071006700,0.4554771122751082,2,06071, San Bernardino County,CA,6700,67,4391,12.8%,34.1,85.7%,2.1%
06071000823,0.4542701393095094,3,06071, San Bernardino County,CA,823,8.23,6604,12.4%,37,46.2%,7.0%
06071008710,0.4527960153950645,2,06071, San Bernardino County,CA,8710,87.1,4417,20.8%,37,53.2%,1.9%
06071000207,0.4488330341113106,2,06071, San Bernardino County,CA,207,2.07,4456,12.7%,31.7,69.9%,1.8%
06071009116,0.44776119402985076,3,06071, San Bernardino County,CA,9116,91.16,6700,7.6%,26.8,57.8%,25.0%
06071003605,0.4476275738585497,2,06071, San Bernardino County,CA,3605,36.05,4468,9.6%,31.9,71.9%,8.1%
06071002607,0.44508734839212194,4,06071, San Bernardino County,CA,2607,26.07,8987,9.2%,30.1,64.4%,13.6%
06071004404,0.43497172683775553,2,06071, San Bernardino County,CA,4404,44.04,4598,8.6%,28.6,78.8%,11.8%
06071000117,0.43128234617596317,3,06071, San Bernardino County,CA,117,1.17,6956,16.8%,45.1,17.1%,2.3%
06071001308,0.43075597673917726,2,06071, San Bernardino County,CA,1308,13.08,4643,10.2%,33.4,80.7%,0.2%
06071001905,0.42973785990545765,3,06071, San Bernardino County,CA,1905,19.05,6981,12.2%,34,55.7%,3.0%
06071007408,0.4170141784820684,2,06071, San Bernardino County,CA,7408,74.08,4796,9.1%,25.4,55.6%,10.9%
06071006402,0.415541242468315,2,06071, San Bernardino County,CA,6402,64.02,4813,7.3%,27.3,70.8%,6.4%
06071001813,0.411946446961895,2,06071, San Bernardino County,CA,1813,18.13,4855,7.3%,27.4,91.0%,3.2%
06071000901,0.3959611958028113,2,06071, San Bernardino County,CA,901,9.01,5051,16.6%,34.3,58.3%,3.8%
06071008002,0.3955174686882004,3,06071, San Bernardino County,CA,8002,80.02,7585,11.3%,32.3,66.5%,9.2%
06071007603,0.38714672861014326,2,06071, San Bernardino County,CA,7603,76.03,5166,14.4%,30.2,62.6%,13.1%
06071006302,0.3850226200789296,4,06071, San Bernardino County,CA,6302,63.02,10389,7.2%,27.8,78.4%,4.6%
06071000116,0.3849411040110863,5,06071, San Bernardino County,CA,116,1.16,12989,13.1%,37.2,19.3%,6.8%
06071001704,0.37929072634174094,2,06071, San Bernardino County,CA,1704,17.04,5273,9.9%,34,72.0%,3.3%
06071003301,0.3769317753486619,2,06071, San Bernardino County,CA,3301,33.01,5306,12.6%,28.1,83.2%,4.6%
06071002103,0.3749531308586427,2,06071, San Bernardino County,CA,2103,21.03,5334,10.6%,30.9,45.0%,12.1%
06071001903,0.36355704209990547,5,06071, San Bernardino County,CA,1903,19.03,13753,8.8%,34.2,29.0%,4.9%
06071006401,0.3599712023038157,1,06071, San Bernardino County,CA,6401,64.01,2778,6.9%,27.2,80.6%,14.0%
06071004004,0.3572066440435792,2,06071, San Bernardino County,CA,4004,40.04,5599,11.8%,34.8,75.0%,4.6%
06071002036,0.3516669011112674,5,06071, San Bernardino County,CA,2036,20.36,14218,9.5%,32.4,31.6%,24.1%
06071002301,0.3486446439466574,4,06071, San Bernardino County,CA,2301,23.01,11473,10.7%,30.1,76.5%,4.8%
06071002401,0.3455425017277125,3,06071, San Bernardino County,CA,2401,24.01,8682,9.6%,30.5,91.2%,1.9%
06071003405,0.34287673581347505,2,06071, San Bernardino County,CA,3405,34.05,5833,6.5%,26,78.0%,11.5%
06071007407,0.3402517863218782,1,06071, San Bernardino County,CA,7407,74.07,2939,8.1%,26.9,64.0%,20.8%
06071007410,0.33772374197906113,2,06071, San Bernardino County,CA,7410,74.1,5922,14.2%,32.1,34.0%,23.0%
06071001504,0.333000333000333,2,06071, San Bernardino County,CA,1504,15.04,6006,8.2%,29.3,71.6%,10.2%
06071008404,0.33222591362126247,1,06071, San Bernardino County,CA,8404,84.04,3010,10.8%,26.5,52.2%,14.1%
06071000107,0.32658393207054215,1,06071, San Bernardino County,CA,107,1.07,3062,20.7%,41.8,33.0%,2.7%
