census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06073019403,1.8975332068311195,10,06073, San Diego County,CA,19403,194.03,5270,13.8%,36.7,49.4%,3.9%
06073014902,1.889168765743073,6,06073, San Diego County,CA,14902,149.02,3176,15.5%,36,24.1%,2.3%
06073017604,1.8814675446848543,14,06073, San Diego County,CA,17604,176.04,7441,27.2%,40.7,17.3%,2.2%
06073016702,1.8785957496771164,16,06073, San Diego County,CA,16702,167.02,8517,23.4%,37.8,21.4%,2.3%
06073021202,1.8781862087469816,7,06073, San Diego County,CA,21202,212.02,3727,19.8%,32.6,25.0%,2.0%
06073008358,1.8749162983795367,14,06073, San Diego County,CA,8358,83.58,7467,19.9%,41.7,19.4%,4.7%
06073016401,1.8726591760299625,10,06073, San Diego County,CA,16401,164.01,5340,22.0%,39.5,27.5%,1.7%
06073000600,1.8709073900841908,6,06073, San Diego County,CA,600,6,3207,13.4%,37.4,22.4%,3.2%
06073019902,1.8709073900841908,8,06073, San Diego County,CA,19902,199.02,4276,12.3%,34.2,42.7%,4.1%
06073020705,1.859504132231405,9,06073, San Diego County,CA,20705,207.05,4840,18.9%,38.5,37.6%,0.6%
06073020016,1.853186451147946,18,06073, San Diego County,CA,20016,200.16,9713,20.3%,44.5,9.1%,0.0%
06073017009,1.8529956763434219,9,06073, San Diego County,CA,17009,170.09,4857,16.2%,35.4,28.6%,1.5%
06073021000,1.8477457501847745,5,06073, San Diego County,CA,21000,210,2706,50.2%,62,22.6%,5.1%
06073017304,1.8388498829822801,11,06073, San Diego County,CA,17304,173.04,5982,22.6%,40.5,24.3%,0.4%
06073020027,1.8326556325525456,32,06073, San Diego County,CA,20027,200.27,17461,19.0%,39.3,16.8%,4.7%
06073002100,1.8278194114421495,10,06073, San Diego County,CA,2100,21,5471,15.8%,38.7,30.7%,11.9%
06073012800,1.8157058556513845,8,06073, San Diego County,CA,12800,128,4406,16.8%,39.3,71.5%,0.7%
06073010402,1.7941608220518674,11,06073, San Diego County,CA,10402,104.02,6131,8.7%,31.5,66.7%,4.0%
06073017021,1.7814726840855108,6,06073, San Diego County,CA,17021,170.21,3368,27.3%,48.3,8.0%,0.8%
06073019303,1.7674536043428861,14,06073, San Diego County,CA,19303,193.03,7921,16.8%,33.7,39.4%,1.1%
06073016000,1.7660044150110374,4,06073, San Diego County,CA,16000,160,2265,17.1%,38.5,30.8%,3.8%
06073007302,1.763668430335097,4,06073, San Diego County,CA,7302,73.02,2268,26.1%,46.2,6.9%,0.5%
06073020306,1.760016564861787,17,06073, San Diego County,CA,20306,203.06,9659,16.8%,33.2,22.1%,3.1%
06073016902,1.7599436818021823,5,06073, San Diego County,CA,16902,169.02,2841,19.5%,40.7,16.2%,1.5%
06073008348,1.7571604287471445,10,06073, San Diego County,CA,8348,83.48,5691,16.5%,36.4,10.7%,2.6%
06073016607,1.7491926803013993,13,06073, San Diego County,CA,16607,166.07,7432,15.8%,33.9,19.5%,2.4%
06073019101,1.7328519855595668,12,06073, San Diego County,CA,19101,191.01,6925,19.2%,37.6,24.3%,3.0%
06073000700,1.7301038062283738,8,06073, San Diego County,CA,700,7,4624,16.8%,37.3,20.7%,2.2%
06073010004,1.7247987734764276,9,06073, San Diego County,CA,10004,100.04,5218,19.8%,36,81.9%,1.3%
06073003401,1.723597618301473,11,06073, San Diego County,CA,3401,34.01,6382,15.9%,34.6,39.3%,28.9%
06073020308,1.7196904557179709,10,06073, San Diego County,CA,20308,203.08,5815,25.7%,36.8,45.1%,3.2%
06073018612,1.710654936461388,7,06073, San Diego County,CA,18612,186.12,4092,15.7%,35.1,34.8%,3.0%
06073017052,1.7055144968732234,9,06073, San Diego County,CA,17052,170.52,5277,17.3%,39.8,12.5%,0.0%
06073007910,1.7024174327545114,5,06073, San Diego County,CA,7910,79.1,2937,9.7%,29.5,8.2%,1.0%
06073002705,1.6936849745947253,7,06073, San Diego County,CA,2705,27.05,4133,21.6%,40.8,28.0%,16.5%
06073002904,1.6868426275054573,17,06073, San Diego County,CA,2904,29.04,10078,3.8%,21.3,16.4%,8.7%
06073006801,1.682935038707506,5,06073, San Diego County,CA,6801,68.01,2971,15.2%,36.5,8.5%,9.6%
06073013302,1.6760946993505133,8,06073, San Diego County,CA,13302,133.02,4773,20.1%,40.5,75.1%,1.7%
06073014102,1.6674606955693188,7,06073, San Diego County,CA,14102,141.02,4198,22.6%,40.3,42.7%,28.8%
06073012600,1.6673614005835766,8,06073, San Diego County,CA,12600,126,4798,13.1%,35.3,77.8%,3.3%
06073011100,1.6642396505096733,8,06073, San Diego County,CA,11100,111,4807,24.0%,44.1,10.9%,0.2%
06073008365,1.6627868307283007,5,06073, San Diego County,CA,8365,83.65,3007,19.8%,44.9,4.9%,0.7%
06073014803,1.6604400166044002,8,06073, San Diego County,CA,14803,148.03,4818,20.2%,35.2,20.4%,4.2%
06073013409,1.6602102933038185,9,06073, San Diego County,CA,13409,134.09,5421,22.0%,42.6,54.8%,4.4%
06073009705,1.6540642722117203,7,06073, San Diego County,CA,9705,97.05,4232,21.0%,38.3,16.9%,5.0%
06073003202,1.6290435187340007,7,06073, San Diego County,CA,3202,32.02,4297,20.0%,36.7,71.0%,4.0%
06073008352,1.6273393002441008,6,06073, San Diego County,CA,8352,83.52,3687,18.2%,37.2,14.4%,0.8%
06073012304,1.6233766233766236,6,06073, San Diego County,CA,12304,123.04,3696,12.7%,34.7,62.4%,2.9%
06073013801,1.6174686615446825,8,06073, San Diego County,CA,13801,138.01,4946,16.8%,36.5,30.9%,17.7%
06073020307,1.6142050040355125,12,06073, San Diego County,CA,20307,203.07,7434,21.4%,42.8,34.9%,1.8%
06073007908,1.6103059581320451,6,06073, San Diego County,CA,7908,79.08,3726,4.0%,29.1,32.0%,1.3%
06073019601,1.6068559185859668,12,06073, San Diego County,CA,19601,196.01,7468,10.0%,32.1,46.6%,1.9%
06073010104,1.5965939329430547,6,06073, San Diego County,CA,10104,101.04,3758,17.2%,37.1,53.6%,8.6%
06073018518,1.594048884165781,6,06073, San Diego County,CA,18518,185.18,3764,11.5%,31.6,67.1%,1.5%
06073008344,1.594048884165781,6,06073, San Diego County,CA,8344,83.44,3764,24.1%,42.9,9.8%,2.7%
06073020309,1.5873015873015872,7,06073, San Diego County,CA,20309,203.09,4410,12.0%,34.1,37.6%,0.4%
06073021303,1.5862944162436547,15,06073, San Diego County,CA,21303,213.03,9456,22.3%,44.3,28.6%,2.9%
06073013504,1.5835312747426762,6,06073, San Diego County,CA,13504,135.04,3789,18.9%,40.2,28.1%,11.0%
06073003108,1.5801948907031869,6,06073, San Diego County,CA,3108,31.08,3797,12.8%,31,58.1%,7.7%
06073016807,1.5758371634931057,12,06073, San Diego County,CA,16807,168.07,7615,18.7%,37.9,18.8%,0.2%
06073008310,1.5720524017467248,9,06073, San Diego County,CA,8310,83.1,5725,32.8%,50.3,14.4%,5.4%
06073019803,1.5640273704789833,8,06073, San Diego County,CA,19803,198.03,5115,17.6%,38.9,10.5%,1.8%
06073015302,1.5635470180924727,7,06073, San Diego County,CA,15302,153.02,4477,30.3%,48.6,14.3%,2.2%
06073008349,1.5620932048945586,6,06073, San Diego County,CA,8349,83.49,3841,19.3%,40.4,13.0%,2.8%
06073017701,1.5561174868702585,8,06073, San Diego County,CA,17701,177.01,5141,11.9%,38.4,13.9%,0.6%
06073014001,1.5555555555555554,7,06073, San Diego County,CA,14001,140.01,4500,16.8%,33.7,39.8%,11.2%
06073017109,1.546029515108925,11,06073, San Diego County,CA,17109,171.09,7115,15.0%,44.1,5.7%,0.2%
