activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037502700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,4,1,1,2,2,125000.0,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,23.0,,9,9,1,11.0,,,,1.0,11.0,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,6513,92.81,80000,94,1254,1618,57
2021,PAOOWF3GUFM46FBSP561,31084,CA,06037,06037900103,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,8,2,2,31,1,1,1,2,125000.0,,3.342,,3,,,,,,,,12,2,2,2,2,265000,1,1,3,5,1,,39.0,,9,9,1,,,,,5.0,,,,,1,4,5.0,,,,,8.0,,,,,1,4,1,5,1,4,65-74,9999,Yes,,2,1,6,,,,,10,,,,5944,71.57,80000,59,1100,1889,30
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037463800,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,1,0,2,1,31,1,1,2,2,1285000.0,,6.125,,3,,,,,,,,,2,2,2,2,2205000,1,1,3,5,1,,49.0,,9,9,1,,,,,1.0,11.0,,,,2,2,6.0,,,,,6.0,,,,,2,2,2,1,2,1,>74,>74,Yes,Yes,2,2,6,,,,,10,,,,3825,41.02,80000,300,1443,1644,64
2021,549300OPCWU6E72WUT29,31084,CA,06037,06037463800,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,1,71,2,1,31,1,1,2,2,1285000.0,,6.125,,3,,,,,,,,,2,2,2,2,2205000,1,1,3,5,1,,63.0,,9,9,1,,,,,1.0,11.0,,,,2,2,6.0,,,,,6.0,,,,,2,2,2,1,2,2,>74,>74,Yes,Yes,1,1,6,,,,,10,,,,3825,41.02,80000,300,1443,1644,64
2021,549300TINI6CL78UD591,31084,CA,06037,06037532200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Female,1,2,2,2,31,1,1,1,2,145000.0,,3.46,,3,,,,,,,,,2,2,2,2,515000,1,1,3,5,1,,12.0,,9,9,1,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,6431,97.17,80000,75,602,1108,52
2021,549300TINI6CL78UD591,31084,CA,06037,06037910711,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,2,2,2,31,1,1,1,2,145000.0,,2.49,,3,,,,,,,,,2,2,2,2,335000,1,1,3,5,1,,29.0,,9,9,1,11.0,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,6,,,,,10,,,,8997,86.81999999999998,80000,58,1413,2094,26
2021,5493001FXF3J5C0QWQ87,31084,CA,06037,06037463800,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,1,31,1,1,2,2,1455000.0,,,,3,,,,,,,,,2,2,2,2,2855000,1,1,3,5,1,,49.0,,1,2,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,9,,,,3825,41.02,80000,300,1443,1644,64
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037113102,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,1,5,2,1,31,1,1,2,2,1455000.0,,6.99,,3,,,,,,,,,2,2,2,2,2625000,1,1,3,5,1,,123.0,,9,9,1,14.0,,,,1.0,14.0,,,,2,2,6.0,,,,,6.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,3016,34.78,80000,194,906,976,43
2021,549300S5YL3OH0IVCS62,31084,CA,06037,06037294610,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,31,1,1,1,2,15000.0,,,,3,,,,,,,,1,2,2,2,2,,1,1,3,5,1,,65.0,,9,9,1,,,,,1.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,2,1,6,,,,,10,,,,4329,99.12,80000,63,419,794,63
2021,549300MHH03ICJYEPE85,31084,CA,06037,06037800204,NC,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,3,0,2,1,32,1,1,2,2,1565000.0,,,,3,,,,,,,,,2,2,2,2,3555000,1,1,3,5,1,,60.0,,9,9,1,,,,,3.0,,,,,2,2,6.0,,,,,5.0,,,,,2,2,2,1,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,1,,,,4790,25.85,80000,222,1330,1682,36
