census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06001423700,2.651880424300868,11,06001, Alameda County,CA,423700,4237,4148,16.3%,25,10.6%,2.3%
06001428600,3.1847133757961785,11,06001, Alameda County,CA,428600,4286,3454,28.3%,43.5,6.0%,7.4%
06001450744,1.7535469472341783,11,06001, Alameda County,CA,450744,4507.44,6273,23.2%,44.8,7.2%,1.1%
06001427800,2.220427937020589,11,06001, Alameda County,CA,427800,4278,4954,16.5%,43.3,9.9%,4.8%
06001441302,1.8527876031665824,11,06001, Alameda County,CA,441302,4413.02,5937,20.2%,40.3,13.1%,2.7%
06001432501,2.266172229089411,11,06001, Alameda County,CA,432501,4325.01,4854,17.9%,38.3,29.8%,7.3%
06001433000,3.0103995621237,11,06001, Alameda County,CA,433000,4330,3654,24.2%,44.2,20.6%,5.9%
06001435200,2.361021678471775,11,06001, Alameda County,CA,435200,4352,4659,22.7%,45.5,27.4%,19.8%
06001427700,2.1149778888675255,11,06001, Alameda County,CA,427700,4277,5201,21.6%,42.2,17.7%,9.4%
06001435102,1.777346905800614,11,06001, Alameda County,CA,435102,4351.02,6189,15.8%,28.4,29.4%,14.0%
06001435900,2.048035747533048,11,06001, Alameda County,CA,435900,4359,5371,20.5%,41.3,33.0%,3.4%
06001433400,1.8537243006403776,11,06001, Alameda County,CA,433400,4334,5934,26.6%,47.2,9.0%,9.3%
06001401000,1.6305233980107616,10,06001, Alameda County,CA,401000,4010,6133,12.4%,35.8,18.7%,30.4%
06001450605,2.5687130747495504,10,06001, Alameda County,CA,450605,4506.05,3893,21.4%,45.8,9.2%,0.9%
06001436402,3.698224852071006,10,06001, Alameda County,CA,436402,4364.02,2704,32.0%,53,18.9%,10.9%
06001437400,2.8694404591104736,10,06001, Alameda County,CA,437400,4374,3485,18.7%,36.6,54.4%,3.9%
06001432600,1.419849495953429,10,06001, Alameda County,CA,432600,4326,7043,20.2%,42.3,30.3%,14.6%
06001421400,6.119951040391677,10,06001, Alameda County,CA,421400,4214,1634,37.5%,54.1,6.4%,1.8%
06001450502,1.8214936247723132,10,06001, Alameda County,CA,450502,4505.02,5490,18.9%,43.1,8.8%,1.5%
06001430800,1.8932222642938281,10,06001, Alameda County,CA,430800,4308,5282,20.2%,42.7,7.5%,1.5%
06001430102,4.125412541254125,10,06001, Alameda County,CA,430102,4301.02,2424,25.2%,47.3,12.3%,1.7%
06001423601,3.7439161362785476,10,06001, Alameda County,CA,423601,4236.01,2671,22.7%,37.3,8.7%,5.2%
06001406601,2.0181634712411705,10,06001, Alameda County,CA,406601,4066.01,4955,12.8%,33.9,35.6%,20.0%
06001450603,1.9398642095053347,10,06001, Alameda County,CA,450603,4506.03,5155,18.6%,40.9,11.8%,1.4%
06001450741,1.7088174982911826,10,06001, Alameda County,CA,450741,4507.41,5852,19.1%,41.5,19.8%,2.7%
06001406300,2.053388090349076,9,06001, Alameda County,CA,406300,4063,4383,10.9%,31.9,33.8%,26.5%
06001423400,1.7431725740848345,9,06001, Alameda County,CA,423400,4234,5163,14.5%,34.6,14.8%,13.7%
06001430200,1.308519918580983,9,06001, Alameda County,CA,430200,4302,6878,22.7%,47.3,9.5%,4.7%
06001430500,1.5032570569567396,9,06001, Alameda County,CA,430500,4305,5987,16.3%,38.5,19.2%,24.9%
06001441602,1.1093307038087021,9,06001, Alameda County,CA,441602,4416.02,8113,17.7%,37.4,17.7%,1.8%
06001430600,1.3876040703052728,9,06001, Alameda County,CA,430600,4306,6486,28.5%,44.8,12.8%,7.5%
06001422100,2.9287341360234302,9,06001, Alameda County,CA,422100,4221,3073,16.7%,37,20.9%,12.8%
06001436300,0.9529860228716646,9,06001, Alameda County,CA,436300,4363,9444,13.0%,36.1,48.2%,9.7%
06001408200,1.9693654266958425,9,06001, Alameda County,CA,408200,4082,4570,13.5%,38.5,15.6%,51.4%
06001451404,1.268677755850014,9,06001, Alameda County,CA,451404,4514.04,7094,12.7%,34.3,47.5%,4.5%
06001442500,1.2205044751830756,9,06001, Alameda County,CA,442500,4425,7374,19.9%,43.2,23.4%,3.4%
06001420100,3.6885245901639347,9,06001, Alameda County,CA,420100,4201,2440,17.7%,43.3,7.9%,0.5%
06001410000,2.7760641579272054,9,06001, Alameda County,CA,410000,4100,3242,27.4%,45,9.3%,40.1%
06001427900,1.7814726840855108,9,06001, Alameda County,CA,427900,4279,5052,19.8%,41.6,14.3%,4.6%
06001425101,5.424954792043399,9,06001, Alameda County,CA,425101,4251.01,1659,33.8%,50.5,5.8%,3.5%
06001443200,2.2205773501110286,9,06001, Alameda County,CA,443200,4432,4053,26.9%,49.8,0.7%,0.0%
06001451701,2.892030848329049,9,06001, Alameda County,CA,451701,4517.01,3112,14.2%,35.9,14.7%,1.1%
06001400300,1.781825381112651,9,06001, Alameda County,CA,400300,4003,5051,16.4%,41.4,6.9%,9.1%
06001421100,4.318618042226488,9,06001, Alameda County,CA,421100,4211,2084,39.0%,53.7,5.9%,1.7%
06001441700,0.9381963175794534,8,06001, Alameda County,CA,441700,4417,8527,11.8%,32.9,20.3%,4.1%
06001407900,2.7845457709711106,8,06001, Alameda County,CA,407900,4079,2873,17.7%,42.2,8.4%,18.4%
06001409100,3.21285140562249,8,06001, Alameda County,CA,409100,4091,2490,10.7%,33,59.2%,27.9%
06001436100,1.3384641124309855,8,06001, Alameda County,CA,436100,4361,5977,18.4%,39.3,41.5%,3.5%
06001409000,1.7068487305312567,8,06001, Alameda County,CA,409000,4090,4687,10.3%,29.3,53.5%,34.9%
06001406800,2.215452783162559,8,06001, Alameda County,CA,406800,4068,3611,20.8%,41.8,25.3%,11.2%
06001407800,2.932551319648094,8,06001, Alameda County,CA,407800,4078,2728,12.5%,27.4,19.8%,23.6%
06001437800,1.6009605763458075,8,06001, Alameda County,CA,437800,4378,4997,15.6%,36.7,39.1%,2.9%
06001440200,1.3061224489795917,8,06001, Alameda County,CA,440200,4402,6125,10.7%,33.9,69.7%,6.7%
06001440301,1.05318588730911,8,06001, Alameda County,CA,440301,4403.01,7596,15.7%,39.1,30.3%,5.5%
06001441100,1.7297297297297296,8,06001, Alameda County,CA,441100,4411,4625,26.8%,49.4,20.0%,0.9%
06001442700,2.6246719160104988,8,06001, Alameda County,CA,442700,4427,3048,19.2%,41,15.4%,5.1%
06001443105,1.671891327063741,8,06001, Alameda County,CA,443105,4431.05,4785,19.4%,45.6,2.4%,1.5%
06001450746,2.269503546099291,8,06001, Alameda County,CA,450746,4507.46,3525,22.2%,43.8,12.0%,0.3%
06001451300,1.1589164131537013,8,06001, Alameda County,CA,451300,4513,6903,14.3%,37.9,19.6%,1.4%
06001437200,1.0682334089998666,8,06001, Alameda County,CA,437200,4372,7489,21.3%,39.2,28.0%,5.5%
06001440304,1.5888778550148956,8,06001, Alameda County,CA,440304,4403.04,5035,21.5%,36.1,13.0%,9.2%
06001400100,2.5641025641025643,8,06001, Alameda County,CA,400100,4001,3120,31.5%,52.2,3.8%,3.4%
06001432400,1.1423675567613878,8,06001, Alameda County,CA,432400,4324,7003,14.5%,35.2,42.1%,6.6%
06001422200,2.4714241581711462,8,06001, Alameda County,CA,422200,4222,3237,20.3%,38.5,16.3%,5.3%
06001421300,2.0655822359927702,8,06001, Alameda County,CA,421300,4213,3873,32.2%,50.9,3.7%,1.5%
06001428100,1.6532341392849763,8,06001, Alameda County,CA,428100,4281,4839,18.8%,40.7,11.6%,6.5%
06001400800,1.7203244040304744,7,06001, Alameda County,CA,400800,4008,4069,11.7%,34.2,10.6%,23.3%
06001420300,1.4064697609001406,7,06001, Alameda County,CA,420300,4203,4977,14.7%,38.9,15.7%,3.9%
06001427100,1.761006289308176,7,06001, Alameda County,CA,427100,4271,3975,23.5%,45.8,16.1%,1.4%
06001400400,1.7469428500124782,7,06001, Alameda County,CA,400400,4004,4007,14.9%,35.6,12.1%,6.6%
06001400500,1.697381183317168,7,06001, Alameda County,CA,400500,4005,4124,10.0%,35.1,9.5%,21.4%
06001423000,1.4107214832728738,7,06001, Alameda County,CA,423000,4230,4962,17.7%,34.2,12.0%,4.9%
06001421800,3.264925373134328,7,06001, Alameda County,CA,421800,4218,2144,26.1%,46.7,3.0%,1.4%
06001408500,1.1711560983771123,7,06001, Alameda County,CA,408500,4085,5977,10.0%,31.7,53.6%,36.8%
06001404200,1.8055197317513543,7,06001, Alameda County,CA,404200,4042,3877,22.9%,43.7,5.6%,6.3%
06001405700,1.9824412347776836,7,06001, Alameda County,CA,405700,4057,3531,10.7%,34.8,13.7%,21.2%
06001432502,1.3518733101583622,7,06001, Alameda County,CA,432502,4325.02,5178,12.2%,35.9,29.7%,13.2%
06001432200,1.7165277096615987,7,06001, Alameda County,CA,432200,4322,4078,22.2%,46.4,24.2%,22.1%
06001450701,0.8143322475570033,7,06001, Alameda County,CA,450701,4507.01,8596,19.5%,46.6,6.2%,2.1%
06001433102,1.560758082497213,7,06001, Alameda County,CA,433102,4331.02,4485,19.1%,38.2,36.2%,8.6%
06001442601,1.6826923076923077,7,06001, Alameda County,CA,442601,4426.01,4160,17.8%,43.5,20.6%,0.4%
06001440308,1.1343380327337547,7,06001, Alameda County,CA,440308,4403.08,6171,22.6%,38.6,26.8%,3.2%
06001451202,1.349267540478026,7,06001, Alameda County,CA,451202,4512.02,5188,12.4%,39.3,14.7%,0.8%
06001450501,2.2179974651457544,7,06001, Alameda County,CA,450501,4505.01,3156,18.0%,40.4,8.9%,0.0%
06001450300,1.343054489639294,7,06001, Alameda County,CA,450300,4503,5212,12.0%,35.2,20.6%,3.1%
06001433600,1.1486708237610765,7,06001, Alameda County,CA,433600,4336,6094,14.9%,40.8,17.7%,8.7%
06001435602,1.2836970474967906,7,06001, Alameda County,CA,435602,4356.02,5453,14.7%,38.9,56.9%,6.6%
06001436900,1.0378057820607858,7,06001, Alameda County,CA,436900,4369,6745,10.1%,32.8,55.9%,7.2%
06001430101,1.0230926629640456,7,06001, Alameda County,CA,430101,4301.01,6842,23.2%,46.8,9.4%,6.4%
06001441800,0.928012727031685,7,06001, Alameda County,CA,441800,4418,7543,12.5%,36.4,11.7%,1.9%
06001431100,1.9657399606852008,7,06001, Alameda County,CA,431100,4311,3561,11.2%,36.8,30.4%,17.0%
06001430300,1.5682174594877156,6,06001, Alameda County,CA,430300,4303,3826,22.5%,45.6,13.1%,1.1%
06001424001,1.4899428855227217,6,06001, Alameda County,CA,424001,4240.01,4027,13.3%,33.3,16.3%,22.2%
06001426200,1.2510425354462051,6,06001, Alameda County,CA,426200,4262,4796,25.4%,47.7,7.0%,2.3%
06001432300,1.2647554806070826,6,06001, Alameda County,CA,432300,4323,4744,12.7%,38.8,33.1%,11.4%
06001451704,1.3277273733126798,6,06001, Alameda County,CA,451704,4517.04,4519,24.0%,42.4,13.2%,0.4%
06001403800,1.7905102954341987,6,06001, Alameda County,CA,403800,4038,3351,19.1%,41,3.6%,13.0%
06001451501,1.2784998934583423,6,06001, Alameda County,CA,451501,4515.01,4693,20.7%,41.7,16.3%,0.9%
06001401100,1.3995801259622112,6,06001, Alameda County,CA,401100,4011,4287,8.1%,35.3,10.8%,7.7%
06001450400,0.8234971177600879,6,06001, Alameda County,CA,450400,4504,7286,14.4%,38.1,13.9%,3.3%
06001450200,1.1441647597254005,6,06001, Alameda County,CA,450200,4502,5244,13.0%,36.6,10.4%,3.1%
06001444302,1.1571841851494697,6,06001, Alameda County,CA,444302,4443.02,5185,13.3%,34.8,39.7%,4.6%
06001441926,1.3057671381936886,6,06001, Alameda County,CA,441926,4419.26,4595,6.9%,32.8,32.9%,3.8%
06001443002,0.8658008658008658,6,06001, Alameda County,CA,443002,4430.02,6930,14.1%,39.8,17.5%,3.0%
06001407200,0.8589835361488904,6,06001, Alameda County,CA,407200,4072,6985,9.9%,33.6,65.0%,8.4%
06001421700,1.7182130584192439,6,06001, Alameda County,CA,421700,4217,3492,21.1%,38.1,9.2%,0.7%
06001432800,1.5079165619502388,6,06001, Alameda County,CA,432800,4328,3979,29.1%,45.2,21.4%,10.4%
06001435700,1.1470082202255785,6,06001, Alameda County,CA,435700,4357,5231,19.7%,39.4,47.5%,11.4%
06001408000,2.2222222222222223,6,06001, Alameda County,CA,408000,4080,2700,24.9%,47.1,12.5%,9.3%
06001427300,1.122334455667789,6,06001, Alameda County,CA,427300,4273,5346,22.6%,41.7,10.9%,7.2%
06001407102,1.367677228174151,6,06001, Alameda County,CA,407102,4071.02,4387,12.4%,31.9,44.5%,26.1%
06001427200,1.4354066985645932,6,06001, Alameda County,CA,427200,4272,4180,17.5%,42.2,16.8%,2.9%
06001441200,0.8245155970867115,6,06001, Alameda County,CA,441200,4412,7277,14.5%,39.3,18.6%,4.7%
06001405000,1.7678255745433118,6,06001, Alameda County,CA,405000,4050,3394,21.8%,44.8,7.4%,11.7%
06001408600,0.7046223224351748,5,06001, Alameda County,CA,408600,4086,7096,11.9%,29.9,52.4%,35.2%
06001409300,0.9428625306430323,5,06001, Alameda County,CA,409300,4093,5303,11.7%,32.1,65.2%,24.6%
06001440307,1.0530749789385003,5,06001, Alameda County,CA,440307,4403.07,4748,31.7%,45.4,18.9%,4.7%
06001422300,1.372495196266813,5,06001, Alameda County,CA,422300,4223,3643,19.0%,34.8,8.8%,2.9%
06001451703,1.2254901960784315,5,06001, Alameda County,CA,451703,4517.03,4080,16.7%,41.8,19.4%,0.0%
06001451506,1.4771048744460857,5,06001, Alameda County,CA,451506,4515.06,3385,13.1%,34.5,40.1%,5.9%
06001400900,2.0234722784297854,5,06001, Alameda County,CA,400900,4009,2471,11.6%,34.9,15.8%,28.8%
06001451201,0.649772579597141,5,06001, Alameda County,CA,451201,4512.01,7695,11.7%,35.7,20.3%,1.3%
06001451101,0.5752416014726185,5,06001, Alameda County,CA,451101,4511.01,8692,12.3%,42.2,14.5%,1.7%
06001450751,0.44968072668405434,5,06001, Alameda County,CA,450751,4507.51,11119,9.6%,37.5,3.1%,1.3%
06001451102,1.2490632025980515,5,06001, Alameda County,CA,451102,4511.02,4003,24.4%,49.4,9.4%,0.3%
06001450601,1.3732491073880801,5,06001, Alameda County,CA,450601,4506.01,3641,24.3%,49.5,6.1%,1.7%
06001440334,1.1327594019030358,5,06001, Alameda County,CA,440334,4403.34,4414,21.5%,40,14.0%,9.6%
06001450742,0.919793966151582,5,06001, Alameda County,CA,450742,4507.42,5436,20.0%,43.7,10.1%,0.6%
06001443102,0.9871668311944718,5,06001, Alameda County,CA,443102,4431.02,5065,19.3%,44,5.6%,0.6%
06001436500,0.930232558139535,5,06001, Alameda County,CA,436500,4365,5375,7.6%,29.4,44.6%,9.6%
06001406100,1.0564124234100993,5,06001, Alameda County,CA,406100,4061,4733,14.0%,35.7,57.2%,8.9%
06001438000,1.2651821862348178,5,06001, Alameda County,CA,438000,4380,3952,13.8%,33.4,27.0%,8.0%
06001404900,1.1913271384322135,5,06001, Alameda County,CA,404900,4049,4197,24.8%,45.3,11.8%,9.6%
06001404000,1.7271157167530224,5,06001, Alameda County,CA,404000,4040,2895,16.8%,37.7,16.4%,7.3%
06001423800,1.6744809109176155,5,06001, Alameda County,CA,423800,4238,2986,36.0%,51.6,6.4%,2.4%
06001437101,0.5084530316512013,4,06001, Alameda County,CA,437101,4371.01,7867,16.1%,40.3,23.5%,7.4%
06001433104,1.0741138560687433,4,06001, Alameda County,CA,433104,4331.04,3724,24.6%,41.6,29.9%,21.8%
06001432100,1.1191941801902632,4,06001, Alameda County,CA,432100,4321,3574,24.2%,46.1,17.8%,11.6%
06001410300,1.0370754472387864,4,06001, Alameda County,CA,410300,4103,3857,8.8%,30.1,65.5%,24.9%
06001400600,2.292263610315186,4,06001, Alameda County,CA,400600,4006,1745,10.3%,34.1,7.5%,20.5%
06001405600,1.223615784643622,4,06001, Alameda County,CA,405600,4056,3269,11.6%,38.5,24.2%,18.0%
06001441521,0.6477732793522267,4,06001, Alameda County,CA,441521,4415.21,6175,20.8%,39.5,7.2%,1.6%
06001406500,0.6073489219556636,4,06001, Alameda County,CA,406500,4065,6586,12.1%,33.4,50.5%,16.5%
06001437300,1.2206286237412267,4,06001, Alameda County,CA,437300,4373,3277,16.1%,38.8,38.1%,12.3%
06001407000,0.6815471119441132,4,06001, Alameda County,CA,407000,4070,5869,15.4%,35.1,30.0%,21.0%
06001406400,1.5717092337917484,4,06001, Alameda County,CA,406400,4064,2545,26.1%,41.9,21.5%,20.7%
06001408800,0.5595188138201147,4,06001, Alameda County,CA,408800,4088,7149,10.8%,28.1,46.6%,38.0%
06001422000,1.8552875695732838,4,06001, Alameda County,CA,422000,4220,2156,16.7%,33.5,6.9%,10.9%
06001437000,1.145147437732608,4,06001, Alameda County,CA,437000,4370,3493,20.0%,43.5,44.0%,5.7%
06001401200,1.5273004963726613,4,06001, Alameda County,CA,401200,4012,2619,12.6%,37.7,12.2%,11.3%
06001410100,1.4998125234345707,4,06001, Alameda County,CA,410100,4101,2667,17.8%,37.2,17.5%,55.5%
06001444301,1.0067958721369243,4,06001, Alameda County,CA,444301,4443.01,3973,15.9%,37.9,32.4%,4.7%
06001450745,0.5959475566150179,4,06001, Alameda County,CA,450745,4507.45,6712,16.5%,41.7,9.9%,0.4%
06001441921,1.0232796111537479,4,06001, Alameda County,CA,441921,4419.21,3909,10.0%,32.9,25.7%,6.7%
06001401400,0.8453085376162299,4,06001, Alameda County,CA,401400,4014,4732,11.6%,32.9,19.0%,31.9%
06001442100,0.7323324789454412,4,06001, Alameda County,CA,442100,4421,5462,17.2%,44.5,1.0%,1.4%
06001428400,0.8756567425569177,4,06001, Alameda County,CA,428400,4284,4568,18.1%,38.1,17.6%,10.7%
06001405500,1.0309278350515465,4,06001, Alameda County,CA,405500,4055,3880,17.7%,37.7,9.3%,22.4%
