geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037106114,06037106114,"Census Tract 1061.14, Los Angeles County, California",6575,5416,159,82.37262357414448,2.418250950570342
1400000US06037106403,06037106403,"Census Tract 1064.03, Los Angeles County, California",3486,3060,47,87.77969018932875,1.3482501434308662
1400000US06037106405,06037106405,"Census Tract 1064.05, Los Angeles County, California",4404,3318,294,75.34059945504087,6.67574931880109
1400000US06037106406,06037106406,"Census Tract 1064.06, Los Angeles County, California",6288,4367,70,69.44974554707379,1.11323155216285
1400000US06037106407,06037106407,"Census Tract 1064.07, Los Angeles County, California",2618,1977,196,75.51566080977847,7.4866310160427805
1400000US06037106408,06037106408,"Census Tract 1064.08, Los Angeles County, California",3822,3451,75,90.29304029304029,1.9623233908948194
1400000US06037106510,06037106510,"Census Tract 1065.10, Los Angeles County, California",6133,3742,209,61.0141855535627,3.4077939018424916
1400000US06037106520,06037106520,"Census Tract 1065.20, Los Angeles County, California",5710,5193,2,90.94570928196147,0.03502626970227671
1400000US06037106603,06037106603,"Census Tract 1066.03, Los Angeles County, California",3658,1032,86,28.21213778020776,2.3510114816839804
1400000US06037106604,06037106604,"Census Tract 1066.04, Los Angeles County, California",4572,4087,113,89.39195100612423,2.47156605424322
1400000US06037106641,06037106641,"Census Tract 1066.41, Los Angeles County, California",2271,137,14,6.032584764420959,0.6164685160722149
1400000US06037106642,06037106642,"Census Tract 1066.42, Los Angeles County, California",3294,788,144,23.922282938676382,4.371584699453552
1400000US06037106643,06037106643,"Census Tract 1066.43, Los Angeles County, California",4511,593,15,13.145643981378852,0.3325205054311683
1400000US06037106645,06037106645,"Census Tract 1066.45, Los Angeles County, California",4158,918,47,22.07792207792208,1.1303511303511304
1400000US06037106646,06037106646,"Census Tract 1066.46, Los Angeles County, California",3028,943,161,31.142668428005283,5.317040951122854
1400000US06037106648,06037106648,"Census Tract 1066.48, Los Angeles County, California",4264,4115,12,96.50562851782364,0.28142589118198874
1400000US06037106649,06037106649,"Census Tract 1066.49, Los Angeles County, California",2916,2109,49,72.32510288065843,1.6803840877914953
1400000US06037107010,06037107010,"Census Tract 1070.10, Los Angeles County, California",3243,3110,11,95.89885908109775,0.33919210607462225
1400000US06037107020,06037107020,"Census Tract 1070.20, Los Angeles County, California",5759,5186,9,90.0503559645772,0.15627713144643168
