census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06067009105,1.1411182959300115,3,06067, Sacramento County,CA,9105,91.05,2629,13.0%,29,28.8%,8.7%
06067007701,1.1402508551881414,8,06067, Sacramento County,CA,7701,77.01,7016,17.6%,34.2,17.5%,9.3%
06067009320,1.1268875366238449,5,06067, Sacramento County,CA,9320,93.2,4437,17.2%,36.7,29.1%,12.8%
06067007402,1.1266698857234831,7,06067, Sacramento County,CA,7402,74.02,6213,19.9%,32.8,38.4%,8.1%
06067009900,1.1201344161299356,4,06067, Sacramento County,CA,9900,99,3571,24.3%,39.1,44.9%,3.9%
06067009633,1.1176306230790725,4,06067, Sacramento County,CA,9633,96.33,3579,13.1%,31,35.0%,18.0%
06067009111,1.1078286558345642,6,06067, Sacramento County,CA,9111,91.11,5416,13.6%,34.5,19.3%,17.9%
06067007422,1.1074197120708749,3,06067, Sacramento County,CA,7422,74.22,2709,7.3%,31.3,30.2%,6.5%
06067003300,1.0993843447669307,5,06067, Sacramento County,CA,3300,33,4548,27.4%,46,19.5%,2.9%
06067006002,1.0950503723171265,5,06067, Sacramento County,CA,6002,60.02,4566,17.2%,35.6,17.1%,6.8%
06067009609,1.087547580206634,6,06067, Sacramento County,CA,9609,96.09,5517,13.5%,36.3,18.1%,18.7%
06067003600,1.084206722081677,3,06067, Sacramento County,CA,3600,36,2767,12.8%,34.3,47.7%,5.3%
06067007202,1.0799136069114472,5,06067, Sacramento County,CA,7202,72.02,4630,19.0%,35.2,21.6%,1.4%
06067009501,1.0604453870625663,3,06067, Sacramento County,CA,9501,95.01,2829,19.2%,34.6,60.7%,0.6%
06067001500,1.0586491636671607,5,06067, Sacramento County,CA,1500,15,4723,29.1%,43.7,9.8%,2.1%
06067009312,1.0559662090813093,7,06067, Sacramento County,CA,9312,93.12,6629,13.0%,40.3,22.0%,3.7%
06067007906,1.048767697954903,4,06067, Sacramento County,CA,7906,79.06,3814,24.4%,45,15.5%,4.0%
06067007421,1.040582726326743,10,06067, Sacramento County,CA,7421,74.21,9610,11.7%,34.3,6.4%,8.4%
06067008910,1.036001036001036,4,06067, Sacramento County,CA,8910,89.1,3861,13.0%,33.3,27.1%,3.3%
06067009004,1.0341261633919339,4,06067, Sacramento County,CA,9004,90.04,3868,18.1%,34.6,21.6%,17.3%
